repeat	count	RPM
RSP_LIKE.het.U_102_192120_192280	602.20	21.27
RSP_LIKE.het.U_102_220256_220419	623.57	22.03
RSP_LIKE.het.U_102_130664_130826	94.63	3.34
RSP_LIKE.het.U_102_224969_225126	1626.77	57.47
RSP_LIKE.het.U_102_180069_180229	69.01	2.44
RSP_LIKE.het.U_102_125625_125787	726.47	25.66
RSP_LIKE.het.U_102_166360_166523	88.93	3.14
RSP_LIKE.het.U_102_151931_152090	1.50	0.05
RSP_LIKE.het.U_102_175004_175162	31.79	1.12
RSP_LIKE.het.U_102_129685_129847	3.15	0.11
RSP_LIKE.het.U_10_23579_23742__reversed_	1978.31	69.89
RSP_LIKE.het.U_102_224322_224479	892.44	31.53
RSP_LIKE.het.U_102_174846_175003	1059.66	37.43
RSP_LIKE.het.U_102_145480_145643	9210.32	325.37
RSP_LIKE.het.U_102_141317_141480	8.05	0.28
RSP_LIKE.het.U_102_152252_152409	3151.68	111.34
RSP_LIKE.het.U_102_143568_143731	2991.89	105.69
RSP_LIKE.het.U_102_144845_144998	1222.40	43.18
RSP_LIKE.het.U_102_133420_133580	56.40	1.99
RSP_LIKE.het.U_102_143893_144056	4081.39	144.18
RSP_LIKE.het.U_102_139701_139859	9.53	0.34
RSP_LIKE.het.U_102_145795_145948	1.37	0.05
RSP_LIKE.het.U_102_179733_179892	19.47	0.69
