repeat	count	RPM
RSP.het.utg_2021.0_300616.quiver_197131_197243__reversed_	9.03	0.27
RSP.het.utg_2021.0_300616.quiver_197478_197591__reversed_	2.15	0.07
RSP.het.utg_2539.0_24622056.quiver_23597081_23597194__reversed_	2.27	0.07
RSP.het.utg_2539.0_24622056.quiver_23596848_23596961__reversed_	4.71	0.14
RSP.het.utg_2021.0_300616.quiver_206199_206314__reversed_	20.39	0.62
RSP.het.utg_2021.0_300616.quiver_284833_284939__reversed_	1.28	0.04
RSP.het.utg_2021.0_300616.quiver_168026_168132	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_197012_197126__reversed_	5.70	0.17
RSP.het.utg_2021.0_300616.quiver_197359_197473__reversed_	11.40	0.35
RSP.het.utg_2021.0_300616.quiver_195182_195296__reversed_	0.32	0.01
RSP.het.utg_2021.0_300616.quiver_297815_297930__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_137880_137994	11.72	0.35
RSP.het.utg_2021.0_300616.quiver_296049_296163__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_299495_299608__reversed_	0.97	0.03
RSP.het.utg_2021.0_300616.quiver_193245_193354__reversed_	16.70	0.51
RSP.het.utg_2021.0_300616.quiver_191078_191187__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_296869_296978__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_168824_168933	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_138666_138774	9.87	0.30
RSP.het.utg_2021.0_300616.quiver_197943_198052__reversed_	6.63	0.20
RSP.het.utg_2021.0_300616.quiver_297333_297444__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_138436_138544	9.31	0.28
RSP.het.utg_2021.0_300616.quiver_145603_145703	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_189504_189612__reversed_	1.05	0.03
RSP.het.utg_2021.0_300616.quiver_196433_196542__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_283848_283960__reversed_	4.51	0.14
RSP.het.utg_2021.0_300616.quiver_158543_158653	2.00	0.06
RSP.het.utg_2021.0_300616.quiver_163662_163774	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_278728_278840__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_294480_294588__reversed_	9.20	0.28
RSP.het.utg_2021.0_300616.quiver_145942_146050	7.88	0.24
RSP.het.utg_2021.0_300616.quiver_295583_295691__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_194257_194365__reversed_	2.69	0.08
RSP.het.utg_2018.0_154882.quiver_125650_125766__reversed_	0.00	0.00
RSP.het.utg_2018.0_154882.quiver_25315_25431	0.00	0.00
RSP.het.G2_Rsp_corrected_mapped_consensus_13052_13168	31.73	0.96
RSP.het.utg_2021.0_300616.quiver_167825_167941	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_157365_157481	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_285024_285140__reversed_	6.43	0.19
RSP.het.utg_2021.0_300616.quiver_152584_152700	2.93	0.09
RSP.het.utg_2021.0_300616.quiver_289388_289504__reversed_	7.75	0.23
RSP.het.utg_2021.0_300616.quiver_289622_289738__reversed_	0.70	0.02
RSP.het.utg_2021.0_300616.quiver_152818_152934	8.32	0.25
RSP.het.G2_Rsp_corrected_mapped_consensus_17362_17467	8.00	0.24
RSP.het.G2_Rsp_corrected_mapped_consensus_19576_19692	4.60	0.14
RSP.het.G2_Rsp_corrected_mapped_consensus_24115_24231	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_238724_238840__reversed_	30.15	0.91
RSP.het.utg_2021.0_300616.quiver_269116_269232__reversed_	29.16	0.88
RSP.het.G2_Rsp_corrected_mapped_consensus_18758_18874	55.98	1.69
RSP.het.utg_2021.0_300616.quiver_222622_222738__reversed_	7.05	0.21
RSP.het.G2_Rsp_corrected_mapped_consensus_19225_19341	9.51	0.29
RSP.het.G2_Rsp_corrected_mapped_consensus_842_958	11.24	0.34
RSP.het.utg_2021.0_300616.quiver_274013_274129__reversed_	35.44	1.07
RSP.het.utg_2021.0_300616.quiver_234178_234294__reversed_	31.07	0.94
RSP.het.utg_2021.0_300616.quiver_217148_217264__reversed_	5.32	0.16
RSP.het.utg_2021.0_300616.quiver_232496_232612__reversed_	16.54	0.50
RSP.het.utg_2021.0_300616.quiver_226466_226582__reversed_	20.93	0.63
RSP.het.G2_Rsp_corrected_mapped_consensus_19927_20043	0.00	0.00
RSP.het.G2_Rsp_corrected_mapped_consensus_22723_22838	7.48	0.23
RSP.het.utg_2021.0_300616.quiver_221106_221222__reversed_	29.25	0.89
RSP.het.utg_2021.0_300616.quiver_231580_231696__reversed_	25.84	0.78
RSP.het.utg_2021.0_300616.quiver_268765_268881__reversed_	36.60	1.11
RSP.het.utg_2021.0_300616.quiver_260409_260525__reversed_	70.14	2.12
RSP.het.utg_2021.0_300616.quiver_228447_228563__reversed_	0.43	0.01
RSP.het.utg_2021.0_300616.quiver_229699_229815__reversed_	33.95	1.03
RSP.het.utg_2021.0_300616.quiver_199649_199764__reversed_	6.29	0.19
RSP.het.utg_2021.0_300616.quiver_235344_235459__reversed_	16.77	0.51
RSP.het.utg_2021.0_300616.quiver_258661_258777__reversed_	38.98	1.18
RSP.het.utg_2021.0_300616.quiver_201626_201740__reversed_	9.53	0.29
RSP.het.G2_Rsp_corrected_mapped_consensus_20161_20278	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_203985_204100__reversed_	13.34	0.40
RSP.het.utg_2021.0_300616.quiver_153052_153168	7.87	0.24
RSP.het.utg_2021.0_300616.quiver_163893_164008	3.10	0.09
RSP.het.utg_2021.0_300616.quiver_278494_278609__reversed_	5.99	0.18
RSP.het.utg_2021.0_300616.quiver_153169_153272	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_283397_283500__reversed_	2.53	0.08
RSP.het.utg_2021.0_300616.quiver_289284_289387__reversed_	3.07	0.09
RSP.het.utg_2021.0_300616.quiver_159003_159106	5.24	0.16
RSP.het.utg_2021.0_300616.quiver_164241_164342	0.00	0.00
