"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"675"	"1.688.seq675.count:1"	14.8	1	358	1e-05	0.14	0.17	0.14	0.823529411764706
"686"	"1.688.seq686.count:1"	15.11	1	360	1e-05	0.14	0.2	0.14	0.7
"725"	"1.688.seq725.count:1"	14.5	1	334	1e-05	0.14	0.62	0.14	0.225806451612903
"727"	"1.688.seq727.count:1"	14.72	1	346	1e-05	0.14	0.84	0.14	0.166666666666667
"738"	"1.688.seq738.count:1"	14.37	1	256	1e-05	0.14	0.67	0.14	0.208955223880597
"913"	"1.688.seq913.count:1"	14.38	1	350	1e-05	0.14	0.65	0.14	0.215384615384615
"943"	"1.688.seq943.count:1"	14.35	1	346	1e-05	0.14	0.67	0.14	0.208955223880597
"955"	"1.688.seq955.count:1"	14.77	1	340	1e-05	0.14	0.63	0.14	0.222222222222222
"959"	"1.688.seq959.count:1"	14.47	1	354	1e-05	0.14	0.46	0.14	0.304347826086957
"977"	"1.688.seq977.count:1"	14.94	1	356	1e-05	0.14	0.13	0.14	1.07692307692308
"984"	"1.688.seq984.count:1"	14.36	1	351	1e-05	0.14	1.65	0.14	0.0848484848484849
"1324"	"1.688.seq1324.count:1"	14.38	1	355	1e-05	0.14	0.75	0.14	0.186666666666667
"1393"	"1.688.seq1393.count:1"	15.01	1	259	1e-05	0.14	0.65	0.14	0.215384615384615
"1397"	"1.688.seq1397.count:1"	14.67	1	358	1e-05	0.14	0.4	0.14	0.35
"265"	"1.688.seq265.count:1"	13.49	1	360	1e-05	0.13	0.46	0.13	0.282608695652174
"285"	"1.688.seq285.count:1"	13.96	1	346	1e-05	0.13	0.76	0.13	0.171052631578947
"394"	"1.688.seq394.count:1"	13.55	1	350	1e-05	0.13	0.36	0.13	0.361111111111111
"451"	"1.688.seq451.count:1"	13.65	1	350	1e-05	0.13	0.51	0.13	0.254901960784314
"457"	"1.688.seq457.count:1"	13.98	1	362	1e-05	0.13	0.24	0.13	0.541666666666667
"484"	"1.688.seq484.count:1"	13.8	1	361	1e-05	0.13	0.7	0.13	0.185714285714286
"506"	"1.688.seq506.count:1"	13.49	1	342	1e-05	0.13	3	0.13	0.0433333333333333
"527"	"1.688.seq527.count:1"	13.56	1	355	1e-05	0.13	0.54	0.13	0.240740740740741
"662"	"1.688.seq662.count:1"	13.28	1	241	1e-05	0.13	0.78	0.13	0.166666666666667
"741"	"1.688.seq741.count:1"	13.3	1	355	1e-05	0.13	0.26	0.13	0.5
"786"	"1.688.seq786.count:1"	13.92	1	343	1e-05	0.13	0.49	0.13	0.26530612244898
"866"	"1.688.seq866.count:1"	13.37	1	359	1e-05	0.13	0.04	0.13	3.25
"1097"	"1.688.seq1097.count:1"	13.3	1	358	1e-05	0.13	0.59	0.13	0.220338983050847
"1130"	"1.688.seq1130.count:1"	14.02	1	313	1e-05	0.13	0.1	0.13	1.3
"1135"	"1.688.seq1135.count:1"	13.85	1	348	1e-05	0.13	0.84	0.13	0.154761904761905
"1219"	"1.688.seq1219.count:1"	13.31	1	347	1e-05	0.13	2.79	0.13	0.046594982078853
"1309"	"1.688.seq1309.count:1"	13.13	1	354	1e-05	0.13	0.31	0.13	0.419354838709677
"1427"	"1.688.seq1427.count:1"	13.24	1	350	1e-05	0.13	0.29	0.13	0.448275862068966
"29"	"1.688.seq29.count:3"	12.45	3	900	1e-05	0.12	2.03	0.04	0.0591133004926108
"91"	"1.688.seq91.count:2"	12	2	720	1e-05	0.12	0.52	0.06	0.230769230769231
"116"	"1.688.seq116.count:2"	12.37	2	710	1e-05	0.12	0.32	0.06	0.375
"119"	"1.688.seq119.count:2"	12.62	2	720	1e-05	0.12	0.86	0.06	0.13953488372093
"172"	"1.688.seq172.count:2"	12.75	2	512	1e-05	0.12	1.21	0.06	0.0991735537190083
"209"	"1.688.seq209.count:1"	12	1	320	1e-05	0.12	0.41	0.12	0.292682926829268
"212"	"1.688.seq212.count:1"	12.37	1	352	1e-05	0.12	1.28	0.12	0.09375
"336"	"1.688.seq336.count:1"	12.96	1	360	1e-05	0.12	0.24	0.12	0.5
