repeat	count	RPM
1.688.11A.X_12124956_12125315	0.96	0.03
1.688.11A.X_12188229_12188588__reversed_	0.93	0.03
1.688.10F.X_11891171_11891528	7.35	0.22
1.688.11A.X_12188949_12189308__reversed_	6.65	0.20
1.688.11A.X_12187882_12188228__reversed_	3.57	0.11
1.688.11F.X_13362046_13362394	1.66	0.05
1.688.11F.X_13361326_13361685	0.48	0.01
1.688.11F.X_13360966_13361325	3.23	0.10
1.688.11E.X_13195015_13195365__reversed_	2.00	0.06
1.688.11E.X_13242017_13242365__reversed_	1.08	0.03
1.688.11E.X_13194526_13194867__reversed_	0.46	0.01
1.688.11D.X_13113202_13113561__reversed_	0.00	0.00
1.688.11D.X_13113562_13113919__reversed_	1.58	0.05
1.688.1D.X_888852_889181	0.00	0.00
1.688.13A.X_14914651_14914975__reversed_	0.18	0.01
1.688.7E.X_8369311_8369661	0.97	0.03
1.688.7E.X_8256742_8257096__reversed_	2.03	0.06
1.688.7E.X_8256389_8256693__reversed_	1.05	0.03
1.688.14B.X_16269438_16269783	0.03	0.00
1.688.13A.X_14915702_14916040__reversed_	0.89	0.03
1.688.12F.X_14697240_14697589__reversed_	0.18	0.01
1.688.12F.X_14605878_14606233	3.41	0.10
1.688.12F.X_14605516_14605871	3.34	0.10
1.688.13A.X_14916047_14916391__reversed_	0.00	0.00
1.688.13A.X_14915342_14915695__reversed_	0.05	0.00
1.688.13B.X_15222006_15222320	1.00	0.03
1.688.11A.X_11989631_11989933	0.00	0.00
1.688.3C.X_2817987_2818310	2.06	0.06
1.688.3C.X_2905749_2906093	2.79	0.08
1.688.5F.X_6383723_6384058	0.59	0.02
1.688.6A.X_6419610_6419969__reversed_	0.00	0.00
1.688.6A.X_6418286_6418624__reversed_	0.00	0.00
1.688.5F.X_6385030_6385368	0.00	0.00
1.688.7E.X_8394282_8394624__reversed_	1.10	0.03
1.688.5E.X_6312851_6313197__reversed_	0.00	0.00
1.688.8B.X_8827280_8827628__reversed_	4.65	0.14
1.688.8C.X_9016754_9017078	2.62	0.08
1.688.9A.X_9956211_9956560	0.00	0.00
1.688.11F.X_13423154_13423511__reversed_	2.00	0.06
1.688.10C.X_11531961_11532320__reversed_	0.13	0.00
1.688.10C.X_11558977_11559336__reversed_	3.01	0.09
1.688.10C.X_11559337_11559695__reversed_	1.08	0.03
1.688.10E.X_11780128_11780483__reversed_	0.00	0.00
1.688.10E.X_11757601_11757956	0.00	0.00
1.688.10E.X_11781194_11781548__reversed_	2.36	0.07
1.688.10E.X_11780486_11780841__reversed_	1.79	0.05
1.688.8D.X_9313394_9313745__reversed_	0.00	0.00
1.688.8D.X_9396951_9397303	0.00	0.00
1.688.8E.X_9515347_9515706	1.00	0.03
1.688.12A.X_13530357_13530713__reversed_	0.00	0.00
1.688.8C.X_9017121_9017474	1.00	0.03
1.688.1D.X_970932_971285__reversed_	1.41	0.04
1.688.11E.X_13127081_13127381	0.00	0.00
1.688.8E.X_9515707_9516056	1.00	0.03
1.688.11A.X_12124590_12124941	0.30	0.01
1.688.11A.X_12437865_12438222	1.76	0.05
1.688.11A.X_12493271_12493626__reversed_	1.49	0.05
1.688.11D.X_13056707_13057066__reversed_	0.78	0.02
1.688.11E.X_13126719_13127078	0.00	0.00
1.688.11B.X_12683251_12683597	1.22	0.04
1.688.11C.X_12797490_12797849	7.08	0.21
1.688.11C.X_12794971_12795330	20.80	0.63
1.688.11C.X_12796050_12796409	19.94	0.60
1.688.11C.X_12796770_12797129	18.91	0.57
1.688.11C.X_12795690_12796049	33.59	1.02
1.688.11C.X_12796410_12796769	6.60	0.20
1.688.11C.X_12795331_12795689	30.82	0.93
1.688.11C.X_12797130_12797489	8.69	0.26
1.688.3B.X_2769366_2769720__reversed_	2.62	0.08
1.688.3B.X_2769007_2769365__reversed_	3.83	0.12
1.688.11B.X_12683598_12683933	2.43	0.07
1.688.11A.X_12046825_12047183	2.72	0.08
1.688.11A.X_12047541_12047897	4.28	0.13
1.688.9A.X_9956599_9956955	0.00	0.00
1.688.9A.X_9880761_9881117__reversed_	0.63	0.02
1.688.9A.X_10007861_10008212	0.04	0.00
1.688.9A.X_9919719_9920078__reversed_	0.31	0.01
1.688.het.utg_43.0_1821686.quiver_81331_81680	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_87690_88040	13.65	0.41
1.688.het.utg_43.0_1821686.quiver_84283_84628	16.03	0.49
1.688.het.utg_43.0_1821686.quiver_78984_79328	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_89368_89715	11.97	0.36
1.688.het.utg_43.0_1821686.quiver_56239_56590	28.80	0.87
1.688.het.utg_43.0_1821686.quiver_62562_62913	14.35	0.43
1.688.het.utg_43.0_1821686.quiver_36442_36794	84.73	2.57
1.688.het.utg_43.0_1821686.quiver_33465_33817	33.94	1.03
1.688.het.utg_43.0_1821686.quiver_62015_62368	41.10	1.24
1.688.het.utg_43.0_1821686.quiver_28618_28974	33.67	1.02
1.688.het.utg_43.0_1821686.quiver_27561_27916	42.74	1.29
1.688.het.utg_43.0_1821686.quiver_12204_12558	18.39	0.56
1.688.het.utg_43.0_1821686.quiver_6579_6933	4.23	0.13
1.688.het.utg_43.0_1821686.quiver_61665_62014	38.23	1.16
1.688.het.utg_43.0_1821686.quiver_20817_21169	8.00	0.24
1.688.het.utg_43.0_1821686.quiver_34706_35051	102.40	3.10
1.688.het.utg_43.0_1821686.quiver_35052_35397	88.85	2.69
1.688.het.utg_43.0_1821686.quiver_35744_36092	64.88	1.96
1.688.het.utg_43.0_1821686.quiver_46784_47133	136.40	4.13
1.688.het.utg_43.0_1821686.quiver_46191_46513	87.35	2.64
1.688.het.utg_43.0_1821686.quiver_45009_45355	79.02	2.39
1.688.het.utg_43.0_1821686.quiver_51807_52153	43.86	1.33
1.688.het.utg_43.0_1821686.quiver_41028_41373	91.06	2.76
1.688.het.utg_43.0_1821686.quiver_50625_50971	42.91	1.30
1.688.het.utg_43.0_1821686.quiver_48301_48631	74.29	2.25
1.688.het.utg_43.0_1821686.quiver_48895_49245	125.73	3.81
1.688.het.utg_43.0_1821686.quiver_43280_43630	14.38	0.44
1.688.het.utg_43.0_1821686.quiver_55580_55889	19.48	0.59
1.688.het.utg_43.0_1821686.quiver_39681_39989	81.79	2.48
1.688.het.utg_43.0_1821686.quiver_49273_49582	12.05	0.36
1.688.het.utg_43.0_1821686.quiver_43658_43966	23.45	0.71
1.688.het.utg_43.0_1821686.quiver_47161_47470	9.32	0.28
1.688.het.utg_43.0_1821686.quiver_37711_38020	31.78	0.96
1.688.het.utg_43.0_1821686.quiver_54857_55203	66.82	2.02
1.688.het.utg_43.0_1821686.quiver_34010_34357	49.91	1.51
1.688.het.utg_43.0_1821686.quiver_26164_26511	12.03	0.36
1.688.het.utg_43.0_1821686.quiver_11497_11852	5.09	0.15
1.688.het.utg_43.0_1821686.quiver_22927_23274	23.79	0.72
1.688.het.utg_43.0_1821686.quiver_20461_20812	3.13	0.09
1.688.het.utg_43.0_1821686.quiver_8335_8685	17.91	0.54
1.688.het.utg_43.0_1821686.quiver_20112_20460	40.76	1.23
1.688.het.utg_43.0_1821686.quiver_13245_13592	56.61	1.71
1.688.het.utg_43.0_1821686.quiver_2694_3045	12.08	0.37
1.688.het.utg_43.0_1821686.quiver_55204_55552	6.75	0.20
1.688.het.utg_43.0_1821686.quiver_53343_53690	15.86	0.48
1.688.het.utg_43.0_1821686.quiver_22577_22926	9.18	0.28
1.688.het.utg_43.0_1821686.quiver_11145_11496	5.30	0.16
1.688.het.utg_43.0_1821686.quiver_40682_41027	78.40	2.37
1.688.het.utg_43.0_1821686.quiver_36988_37333	93.85	2.84
1.688.het.utg_43.0_1821686.quiver_24166_24504	59.42	1.80
1.688.het.utg_43.0_1821686.quiver_1636_1968	11.78	0.36
1.688.het.utg_43.0_1821686.quiver_32132_32481	27.46	0.83
1.688.het.utg_43.0_1821686.quiver_12894_13244	21.27	0.64
1.688.het.utg_43.0_1821686.quiver_32833_33180	162.34	4.92
1.688.het.utg_43.0_1821686.quiver_26863_27210	134.29	4.07
1.688.het.utg_43.0_1821686.quiver_29675_30023	118.14	3.58
1.688.het.utg_43.0_1821686.quiver_10795_11144	35.46	1.07
1.688.het.utg_43.0_1821686.quiver_25464_25813	33.45	1.01
1.688.het.utg_43.0_1821686.quiver_35398_35743	55.93	1.69
1.688.het.utg_43.0_1821686.quiver_15000_15349	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_40345_40681	107.53	3.26
1.688.het.utg_43.0_1821686.quiver_44672_45008	133.12	4.03
1.688.het.utg_43.0_1821686.quiver_50288_50624	45.82	1.39
1.688.het.utg_43.0_1821686.quiver_24505_24853	79.31	2.40
1.688.het.utg_43.0_1821686.quiver_22227_22576	18.09	0.55
1.688.het.utg_43.0_1821686.quiver_17286_17635	2.41	0.07
1.688.het.utg_43.0_1821686.quiver_29326_29674	61.69	1.87
1.688.het.utg_43.0_1821686.quiver_19763_20111	51.61	1.56
1.688.het.utg_43.0_1821686.quiver_9741_10091	1.63	0.05
1.688.het.utg_43.0_1821686.quiver_19056_19407	2.19	0.07
1.688.het.utg_43.0_1821686.quiver_31794_32131	71.00	2.15
1.688.het.utg_43.0_1821686.quiver_4824_5171	35.09	1.06
1.688.het.utg_43.0_1821686.quiver_12559_12893	9.92	0.30
1.688.het.utg_43.0_1821686.quiver_26512_26862	46.21	1.40
1.688.het.utg_43.0_1821686.quiver_21878_22226	85.18	2.58
1.688.het.utg_43.0_1821686.quiver_10447_10794	17.91	0.54
1.688.het.utg_43.0_1821686.quiver_14648_14999	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_3403_3753	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_34358_34705	143.55	4.35
1.688.het.utg_43.0_1821686.quiver_17987_18344	8.00	0.24
1.688.het.utg_43.0_1821686.quiver_1973_2331	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_21170_21524	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_16228_16579	4.00	0.12
1.688.het.utg_43.0_1821686.quiver_21525_21877	0.00	0.00
1.688.het.utg_43.0_1821686.quiver_7986_8334	22.25	0.67
1.688.het.utg_43.0_1821686.quiver_8686_9037	11.70	0.35
1.688.het.utg_43.0_1821686.quiver_6230_6578	0.88	0.03
