repeat	count	RPM
1.688.11A.X_12142826_12143179__reversed_	10.43	0.92
1.688.11A.X_12142119_12142458__reversed_	8.17	0.72
1.688.11A.X_11881453_11881806	4.50	0.40
1.688.11A.X_11881813_11882148	1.90	0.17
1.688.11A.X_11881095_11881446	12.46	1.10
1.688.11A.X_11847183_11847534__reversed_	5.86	0.52
1.688.15B.X_16745093_16745440	8.57	0.76
1.688.15B.X_16745441_16745789	4.38	0.39
1.688.13C.X_15204296_15204656	40.79	3.60
1.688.13C.X_15204657_15205017	55.98	4.93
1.688.15B.X_16744732_16745092	13.57	1.20
1.688.15B.X_16744371_16744731	9.06	0.80
1.688.13C.X_15202491_15202851	27.92	2.46
1.688.13C.X_15205740_15206101	25.81	2.28
1.688.13C.X_15205018_15205378	38.89	3.43
1.688.13C.X_15205379_15205739	39.27	3.46
1.688.13C.X_15202852_15203212	44.84	3.95
1.688.13C.X_15203213_15203573	33.74	2.97
1.688.13C.X_15203574_15203934	46.17	4.07
1.688.13C.X_15203935_15204295	38.39	3.38
1.688.13B.X_15015573_15015927	8.06	0.71
1.688.13B.X_14990841_14991201	194.84	17.18
1.688.13B.X_14989042_14989401	98.75	8.71
1.688.13B.X_14994089_14994449	222.41	19.61
1.688.13B.X_14992284_14992644	349.51	30.81
1.688.13B.X_14991202_14991562	289.39	25.51
1.688.13B.X_14991563_14991922	357.63	31.53
1.688.13B.X_14992645_14993005	186.94	16.48
1.688.13B.X_14994450_14994810	115.68	10.20
1.688.13B.X_14988684_14989041	309.21	27.26
1.688.10F.X_11637043_11637403	99.54	8.78
1.688.10F.X_11638848_11639208	113.41	10.00
1.688.13C.X_15326049_15326409__reversed_	802.44	70.74
1.688.10F.X_11640292_11640652	117.45	10.35
1.688.10F.X_11639570_11639930	105.35	9.29
1.688.10F.X_11640653_11641007	86.42	7.62
1.688.10F.X_11641013_11641367	58.77	5.18
1.688.10F.X_11641373_11641726	12.64	1.11
1.688.10F.X_11642093_11642446	41.94	3.70
1.688.10F.X_11643168_11643520	16.07	1.42
1.688.10F.X_11642452_11642803	1.55	0.14
1.688.10F.X_11643884_11644191	225.49	19.88
1.688.13C.X_15325333_15325687__reversed_	112.20	9.89
1.688.10F.X_11637404_11637764	109.53	9.66
1.688.10F.X_11636323_11636682	39.21	3.46
1.688.10F.X_11642808_11643167	24.51	2.16
1.688.10F.X_11643525_11643877	156.98	13.84
1.688.10F.X_11630597_11630957	142.56	12.57
1.688.10F.X_11633123_11633482	96.10	8.47
1.688.10F.X_11633483_11633843	109.20	9.63
1.688.10F.X_11635962_11636322	113.57	10.01
1.688.10F.X_11634879_11635239	158.34	13.96
1.688.10F.X_11635240_11635600	156.48	13.80
1.688.10F.X_11631319_11631679	125.14	11.03
1.688.10F.X_11635601_11635961	94.96	8.37
1.688.10F.X_11629514_11629874	239.95	21.15
1.688.10F.X_11632041_11632400	166.62	14.69
1.688.10F.X_11632401_11632761	124.16	10.95
1.688.10F.X_11630236_11630596	203.38	17.93
1.688.10F.X_11632762_11633122	40.47	3.57
1.688.10F.X_11631680_11632040	115.36	10.17
1.688.10F.X_11629875_11630229	323.49	28.52
1.688.10F.X_11630958_11631318	298.26	26.29
1.688.10F.X_11634518_11634878	149.38	13.17
1.688.10F.X_11634157_11634517	98.13	8.65
1.688.13C.X_15326410_15326770__reversed_	549.95	48.48
1.688.13C.X_15325688_15326048__reversed_	70.81	6.24
1.688.10F.X_11633844_11634156	9.21	0.81
1.688.13B.X_14996255_14996614	56.77	5.00
1.688.13B.X_14990120_14990480	102.24	9.01
1.688.10F.X_11637765_11638125	119.36	10.52
1.688.10F.X_11639209_11639569	99.04	8.73
1.688.10F.X_11639931_11640291	113.77	10.03
1.688.10F.X_11638126_11638486	101.83	8.98
1.688.10F.X_11636683_11637042	46.04	4.06
1.688.10F.X_11641732_11642092	76.54	6.75
1.688.10F.X_11638487_11638847	100.75	8.88
1.688.11F.X_13164447_13164807	6.93	0.61
1.688.13B.X_15016295_15016649	11.61	1.02
1.688.13B.X_15015934_15016288	11.60	1.02
1.688.13C.X_15326771_15327131__reversed_	100.29	8.84
1.688.13B.X_14989761_14990119	15.31	1.35
1.688.13B.X_14991923_14992283	551.51	48.62
1.688.13B.X_14987601_14987961	123.58	10.89
1.688.13B.X_14995533_14995893	85.97	7.58
1.688.13B.X_14993728_14994088	98.10	8.65
1.688.13B.X_14989402_14989756	98.06	8.64
1.688.13B.X_14995172_14995532	67.38	5.94
1.688.13B.X_14993367_14993727	117.46	10.35
1.688.13B.X_14987962_14988322	104.58	9.22
1.688.13B.X_14994811_14995171	113.22	9.98
1.688.13B.X_14993006_14993366	156.61	13.81
1.688.13B.X_14988323_14988683	232.21	20.47
1.688.13B.X_14990481_14990840	77.83	6.86
1.688.13B.X_14995894_14996254	74.31	6.55
